Feeder,DeviceID,Type,Rating,Description,Lat,Lon,Source,ParentID,MeterCount,VerifiedStatus,VerifiedDate
ALA07,65-019440,TRANSFORMER,30kVA,บ้านน้ำจาน,8.408599,98.820261,gis,ALA07WF-108,17,,
ALA07,45-018370,TRANSFORMER,50kVA,DCC_บ้านศรีพระยา ม.12,8.48357,98.822817,gis,49-013197,39,,
ALA07,38-007194,TRANSFORMER,30kVA,DCC_,8.521114,98.858078,gis,ALA07WS-109,26,,
ALA07,51-010102,TRANSFORMER,50kVA,โรงเรียนอนุบาลตำบลปลายพระยา,8.53826,98.870389,gis,65-019968,1,,
ALA07,-,TRANSFORMER,30kVA,DCC_,8.469862,98.851572,gis,ALA07WF-122,28,,
ALA07,36-020111,TRANSFORMER,30kVA,บริษัท เจียรวานิชน้ำมันปาล์ม จ,8.475004,98.807916,gis,ALA07WF-124,1,,
ALA07,67-028427,TRANSFORMER,30kVA,DCC_,8.454913,98.853102,gis,ALA07F-26/01,29,,
ALA07,42-000060,TRANSFORMER,30kVA,DCC_,8.485674,98.829758,gis,ALA07WF-128,33,,
ALA07,49-012657,TRANSFORMER,30kVA,ประปาหมู่บ้านบางเหลียว,8.466466,98.845864,gis,ALA07WF-122,1,,
ALA07,48-006809,TRANSFORMER,30kVA,องค์การบริหารส่วนตำบลคีรีวง,8.450057,98.84245,gis,ALA07WF-121,1,,
ALA07,49-013340,TRANSFORMER,30kVA,DCC_,8.461484,98.843738,gis,52-010807,7,,
ALA07,42-000243,TRANSFORMER,30kVA,DCC_,8.478828,98.82756,gis,49-013197,30,,
ALA07,41-005054,TRANSFORMER,30kVA,DCC_,8.393036,98.757214,gis,ALA07WF-102,49,,
ALA07,40-022298,TRANSFORMER,30kVA,DCC_,8.386779,98.753992,gis,ALA07WF-102,28,,
ALA07,40-002484,TRANSFORMER,30kVA,กฟอ.อ่าวลืก องค์การบริหารส่วนตำบลอ่าวลืกเหนือประปา,8.406887,98.75918,gis,ALA07WF-104,1,,
ALA07,39-004542,TRANSFORMER,100kVA,DCC_,8.416289,98.759,gis,40-002484,43,,
ALA07,40-019651,TRANSFORMER,30kVA,DCC_,8.504217,98.891445,gis,ALA07WF-138,20,,
ALA07,50-007162,TRANSFORMER,50kVA,DCC_,8.554258,98.900345,gis,ALA07WF-152,69,,
